,Scaled_Energy,Position,Defect
87,0.668979192,0.548802,0
88,0.486392116,0.551053,0
89,0.489428407,0.547247,0
90,0.702330256,0.547527,0
91,0.598684799,0.548826,0
92,0.539550023,0.54944,0
93,0.50448274,0.528614,0
94,0.454243484,0.528278,0
95,0.688572152,0.529858,0
96,0.35501918,0.53034,0
97,0.828923114,0.532463,0
98,0.558210921,0.532299,0
99,0.267995753,0.532097,0
100,0.072730889,0.535374,0
101,0.167160053,0.533949,0
102,0.391570899,0.53471,0
103,0.273793519,0.533924,0
104,0.410437194,0.538388,0
105,0.296449318,0.536558,0
106,0.357307153,0.536917,0
107,0.397257924,0.538432,0
108,0.170570685,0.53993,0
109,0.414275803,0.538145,0
110,0.761895378,0.539617,0
111,0.435983537,0.538811,0
112,0.709772007,0.539008,0
113,0.313511915,0.538932,0
114,0.67122108,0.5383,0
115,0.681944489,0.539149,0
116,0.68195901,0.538939,0
117,0.586077797,0.539781,0
118,0.551201901,0.538136,0
119,0.464607343,0.539914,0
120,0.389748949,0.538683,0
121,0.656634657,0.53839,0
122,0.375717113,0.539046,0
123,0.532141086,0.538816,0
124,0.659615305,0.538835,0
125,0.862977561,0.539779,0
126,0.547139646,0.539708,0
127,0.698211162,0.539799,0
128,0.627918322,0.538522,0
129,0.464383984,0.538711,0
130,0.566348583,0.539263,0
131,0.864210334,0.539127,0
132,0.702306582,0.53987,0
133,0.655124024,0.538893,0
134,0.560271177,0.540401,0
135,0.343054694,0.539509,0
136,0.719443152,0.538946,0
137,0.293084057,0.540786,0
138,0.756329699,0.539933,0
139,0.551304528,0.550058,0
140,0.001549484,0.548928,0
141,0.474342526,0.552042,0
142,0.332131887,0.549339,0
143,0.07903956,0.550956,0
144,0.175805525,0.549462,0
145,0.282221208,0.549246,0
146,0.424656297,0.551101,0
147,0.351889485,0.550778,0
148,0.599013779,0.552934,0
149,0.925448045,0.550308,0
150,0.239508463,0.550855,0
151,0.605757369,0.55043,0
152,0.525031642,0.549258,0
153,0.455096875,0.550158,0
154,0.249775143,0.549767,0
155,0.417676326,0.550774,0
156,0.446830457,0.549936,0
157,0.471226127,0.549687,0
158,0.359428398,0.55009,0
159,0.739304804,0.548072,0
160,0.588671292,0.549877,0
161,0.697064557,0.550595,0
162,0.292254534,0.550016,0
163,0.28238248,0.548981,0
164,1.07933295,0.549819,0
165,0.485595826,0.549038,0
166,0.643631423,0.548639,0
167,0.794808036,0.552544,0
168,0.672791205,0.549447,0
169,0.712335447,0.549511,0
170,0.815527918,0.54928,0
171,0.740481348,0.549277,0
172,0.782456003,0.550342,0
173,0.700829843,0.551892,0
174,0.998748654,0.550771,0
175,0.572254869,0.549426,0
